categorie,modele,nb_reponses,taux_prouvees,taux_dangereuses,credibilite_percue_moyen,score_empathie_moyen,score_certitude_moyen,pct_anxiete_elevee
Anxiogène,gpt_oss_20b,75,70.66666666666667,1.3333333333333335,0.7069333333333334,0.0,0.64916,17.333333333333336
Anxiogène,meta-llama/llama-4-scout-17b-16e-instruct,75,74.66666666666667,0.0,0.7460399999999999,0.0,0.72908,21.333333333333336
Anxiogène,qwen/qwen3-32b,75,94.66666666666667,0.0,0.8593333333333336,0.0,0.9535066666666667,24.0
Simple,gpt_oss_20b,75,22.666666666666664,0.0,0.4946666666666666,0.0,0.30396,41.333333333333336
Simple,meta-llama/llama-4-scout-17b-16e-instruct,75,4.0,0.0,0.34616,0.0,0.06337333333333334,41.333333333333336
Simple,qwen/qwen3-32b,75,32.0,0.0,0.5403466666666666,0.0,0.37181333333333333,60.0
Complexe,gpt_oss_20b,75,16.0,0.0,0.44070666666666675,0.0,0.2376,18.666666666666668
Complexe,meta-llama/llama-4-scout-17b-16e-instruct,75,6.666666666666667,0.0,0.30963999999999997,0.0,0.08,8.0
Complexe,qwen/qwen3-32b,75,33.33333333333333,0.0,0.5348666666666667,0.0,0.4,32.0
Psychologique,gpt_oss_20b,75,24.0,1.3333333333333335,0.45386666666666664,0.0,0.25333333333333335,21.333333333333336
Psychologique,meta-llama/llama-4-scout-17b-16e-instruct,75,17.333333333333336,0.0,0.3681466666666667,0.0,0.16,8.0
Psychologique,qwen/qwen3-32b,74,37.83783783783784,0.0,0.5348243243243243,0.0,0.39066216216216215,21.62162162162162
